address,restaurant,type,region,food_subtype
"15 Merbau Road Next Robertson Quay Hotel, Singapore 239032 Singapore",Rosso Vino,"Italian,Pizza,Mediterranean",CENTRAL,pasta#crab pasta#italian#glass wine#steak#pizza#vino#seafood#risotto#dessert#coffee#tiramisu#mojito#octopus#bottle wine#american#salmon#cocktail#lasagne#sirloin#beef#pizza pasta#beef steak#tenderloin#prosciutto#fish#pork#carbonara#beer#wine list#chinese#vegetarian#ravioli#bread#spaghetti#limoncello#vongole#chicken#soup#salad#cake#cheese#lobster#lamb#greek#lava cake#bisque#lamb shank#lobster bisque#crab meat#greek salad#seafood soup#pasta pizza#seafood pasta#crabmeat#burrata#bruschetta#ragu#gelato#italian wine#chocolate#scallop#cake dessert#lasagna#asian#white wine#panna cotta#smoked salmon#penne#calamari#gnocchi#western#garlic bread#allergy#truffle#tagliatelle#lemon#fresh seafood#carpaccio#vanilla#mango#sea bass#steakhouse#chocolate lava#chocolate lava cake#shrimp#martini#aglio olio#cappuccino#red wine#margarita#linguine#caesar salad#ice cream#antipasti#desert#spinach#ricotta#fine dining#ice tea#vegan#tartare#bacon#seabass#sirloin steak#japanese#bbq#pasta dish#strawberry#ragout#pistachio#durian#cider#cheese platter#mushroom soup#prawn#mozzarella#porcini#egg#burrata cheese#cold beer#ham#squid#squid ink#iced tea#indian#dark chocolate#vanilla ice cream#cafe#juice#tuna#wine service#burger#cod#potato#grill#beef carpaccio#indonesian#espresso#chocolate dessert#beef cheek#ink pasta#squid ink pasta#snapper#blue cheese
"805 Bukit Timah Road Sixth Avenue Centre #01-04, Singapore 279883 Singapore",Meat N' Chill,"American,Steakhouse,Southwestern",CENTRAL,pork#salad#cheese#pineapple#cider#pulled pork#steak#ribeye#coleslaw#bbq#bbq pork#truffle#red wine#angus#ribeye steak#bread#ice cream#apple crumble#burger#wagyu#umami#wagyu burger#dessert#bacon#milkshake#seafood#beef#chocolate#american#truffle oil#pasta#carbonara#potato#truffle fries#mash potato#vanilla#beef steak#salmon#calamari#white wine#lager#garlic bread#chicken#popcorn#angus beef#striploin#sirloin#sirloin steak#pork rib#sandwich#icecream#black truffle#fried chicken#mac cheese#quesadilla#barbecue#beer#cheesecake#pig#brioche#beef patty#duck#pie#rib eye#asparagus#prawn#waffle#aglio olio#soup#western#tortilla#korean#vanilla ice cream#mushroom soup#italian#banana#milk tea#mashed potato#fish#stew#coffee#glass wine#beef rib#rib eye steak#kurobuta#kurobuta pork#cafe#lemon#beef short
"76 Bras Basah Road Carlton Hotel Lobby floor, Carlton Hotel, Singapore 189558 Singapore",Shinji by Kanesaka,"Japanese,Seafood,Sushi",CENTRAL,sushi#sashimi#japanese#omakase#soup#michelin#michelin star#dessert#ebi#fish#seafood#tuna#clam#urchin#sea urchin#cake#cake dessert#lobster#fine dining#mango#octopus#eel#sushi sashimi#tea#ice cream#sashimi sushi#cuttlefish#shrimp#miso#miso soup#caviar#fresh sashimi#mackerel#desert#fruit#champagne#breakfast#maki#western#salmon#cod#juice#prawn#tiger prawn#asian#beef#steak#vegetable#umami#wine list#squid#spanish#baby squid#snapper#fish soup#michelin starred#scallop#fresh fruit#chinese#chinese cuisine#fried rice#beer#crab meat#chicken#chicken rice#meatball#vegetarian#abalone#pineapple#unagi#egg#fresh seafood
"112 Middle Road Midland House #01-00B Midland House, Singapore 188970 Singapore",En Sushi,"Japanese,Seafood,Sushi",CENTRAL,japanese#sushi#sashimi#snapper#tempura#fish#umami#maki#chicken#beef#pork#steak#cake#curry#egg#oyster#potato#pork belly#tofu#iberico#sweet potato#iberico pork#beef steak#sweet potato fries#century egg#soft shell crab#omakase#carpaccio#sushi sashimi#fresh sashimi#seafood#fresh seafood#salmon#stingray#foie gras#soup#cod#miso#miso soup#cheese#beer#ramen#spaghetti#curry chicken#ebi#cod fish#sashimi sushi#cold beer#korean#eel#salmon sashimi#salad#tuna#grilled fish#braised pork#yakitori#sesame#dessert#ice cream#wagyu#sandwich#bacon#tenderloin#sirloin#beef tenderloin#fish head#unagi#prawn#vegetable#noodle#udon#teppanyaki#crepe#fried prawn#chinese
"3B River Valley Road The Foundry Clarke Quay, Block B, #01-15, Near Clarke Quay Taxi Stand, Singapore 179019 Singapore",The RANCH Steakhouse By ASTONS,"American,Steakhouse,",CENTRAL,dessert#steak#beef#beef steak#cheese#lamb#chocolate#burger#red wine#salmon#smoked salmon#steakhouse#ribeye#porterhouse#bread#truffle#wine list#asparagus#angus#octopus#spanish#carpaccio#steak house#pork#pork chop#iberico#iberico pork#bone marrow#ribeye steak#mac cheese#beer#beef carpaccio#salad#cake#michelin#foie gras#lava cake#sirloin#caesar salad#cake dessert#duck#coffee#potato#tenderloin#mash potato#spinach#rib eye#italian#italian wine#chicken#soup#wagyu#wagyu beef#satay#chicken satay#bisque#onion soup#juice#mango#fresh juice#tartar#bottle wine#hamburger#sourdough#mushroom soup#japanese#lager#ragout#pasta#cocktail#lobster#lobster bisque#seafood#egg#western#michelin star#waygu#sirloin steak#pasta dish#cheesecake#gratin#wagyu steak#avocado#crab cake#creme brulee#grill#caramel
"10 Bay Front Avenue Marina Bay Resort, Sands SkyPark, Tower 2 Level 57 Access from Hotel Lobby Tower 2, Singapore 018956 Singapore",Spago Dining Room by Wolfgang Puck,"American,International,European",CENTRAL,caramel#souffle#kaya toast#western#quail#dessert#pork#salmon#laksa#tuna#iberico#spring roll#strawberry#iberico pork#panna cotta#chestnut#porcini#steak#michelin#michelin star#cod#black cod#pasta#burger#glass wine#miso#angus#soup#duck#bread#sashimi#smoked duck#coffee#cocktail#breakfast#juice#sushi#octopus#pork chop#bottle wine#buffet#egg#asian#fruit#banana#american#breakfast buffet#fresh fruit#fruit juice#chicken#apple#tartar#apple crumble#fish#cake#burrata#carrot cake#cake dessert#lobster#sandwich#caviar#scrambled egg#grilled chicken#egg white#foie gras#pie#sea bass#grilled octopus#oyster#gratin#chocolate#desert#salad#mediterranean#beef#wagyu#wagyu beef#fine dining#japanese#tartare#ragu#white wine#truffle#veal#black truffle#truffle pasta#italian#sirloin#sirloin steak#dumpling#cheese#lamb#wine list#asparagus#pasta dish#cappuccino#beer#champagne#whisky#roasted pork#noodle#vegetarian#beef steak#mango#lemon#omelette#steakhouse#gelato#spanish#goat cheese#prosciutto#baguette#vanilla#tuna tartare#hamburger#quinoa#vegan#ice cream#steak tartare#snapper#espresso#curry#coconut#pistachio#potato#red wine#mashed potato#seafood#michelin starred#chinese#spaghetti#beef burger#confit#scallop#seared scallop#artichoke#rib#ribeye#prime rib#gnocchi#cod fish#risotto#mash potato#waygu#pork belly#lobster roll#hot chocolate#penne#fried chicken#waffle#tempura#coconut ice#coconut ice cream#bacon#prawn#wine service#mousse#brioche#allergy#smoked salmon#parma#tagliatelle#rabbit#martini#angus beef#roasted chicken#rib eye#oxtail#korean#spinach#meringue#chocolate dessert#kulfi#german#dry laksa#calamari#teh#roast chicken#buffet breakfast#popiah#peking duck#squid#squid ink#gin tonic#short rib#halibut#roast duck#pandan#king crab#mojito#beef rib#braised beef#cold beer#lychee#avocado#sesame#ragout#sushi sashimi#ink pasta#squid ink pasta#curry sauce#ravioli#linguine#white truffle#ice tea#burrito#greek#pineapple#parma ham#burrata cheese#sangria
"49 Circular Road, Singapore 049404 Singapore",Positano @ RP,"Italian,Pizza,Cafe",CENTRAL,pasta#cake#pizza#chocolate#squid#risotto#squid ink#lava cake#ink pasta#squid ink pasta#chocolate lava#chocolate lava cake#seafood#tiramisu#dessert#truffle#seafood pasta#tea#iced tea#sticky date pudding#linguine#creme brulee#carbonara#pork#cheese#salmon#mac cheese#crabmeat#soup#steak#mushroom soup#italian#halal#vegetarian#beef#wagyu#wagyu beef#aglio olio#umami#scallop#western#truffle fries#rib#lemon#short rib#chicken#calamari#grilled squid#potato#mash potato#burger#desert#wagyu burger#lobster#ragu#vanilla#strawberry#bisque#lobster bisque#panna cotta#ribeye#caramel#cheesecake#spinach#beef burger#ricotta#wagyu steak
"5 Fraser Street Andaz Singapore Level 38, Singapore 189354 Singapore",665 Degrees Fahrenheit,"Steakhouse,Gluten Free Options,",CENTRAL,steak#striploin#beef#cake#salmon#lava cake#rib#avocado#rib eye#truffle#lamb#wagyu#bone marrow#cheese#lobster#crab cake#dessert#cheesecake#waygu#desert#tenderloin#truffle fries#chocolate#mac cheese#chocolate cake#bisque#lobster bisque#crab meat#tartare#ice cream#vanilla#bread#fish#cod#cod fish#steak house#potato#ribeye#mashed potato#garlic bread#halal#beef steak#red wine#ribeye steak#coffee#scallop#caviar#ceviche#hokkaido scallop#sourdough#salad#caesar salad#lamb chop#seafood#steakhouse#boston lobster#fine dining#apple#apple crumble#grill#spinach#asparagus#dark chocolate#tuna#tuna tartare#sirloin#prawn#chicken#champagne#western#veal#chicken rice#croquette#korean#soup#vegetable#mash potato#hummus#short rib#rib eye steak#martini#sirloin steak#beer#bbq#mousse#chocolate mousse#onion soup#carpaccio#beef carpaccio#truffle oil#egg#fried rice#tofu#custard bun#fried tofu#dim sum#mian#pork#pork chop#allergy#indian#vegetarian#taiwanese#chinese#chilli crab#asian#dumpling#red bean#noodle#lemon#claypot#wanton#soup noodle#soup dumpling#chicken soup#fried pork#cold beer#shrimp#juice#pineapple#wok hei#noodle soup#beef noodle#chinese cuisine#breakfast#mango#duck#iced tea#chili crab#doe#mango pudding#spring roll#spaghetti#king prawn#smoked salmon#dimsum#fried chicken#yam#kailan#pancake#steamed dumpling#sesame#siew mai#pau#pork rib#ramen#prawn noodle#vanilla ice cream#glutinous rice#michelin#pork dumpling#michelin star#chestnut#yam paste#ravioli#barbecue#beef brisket#chocolate lava#kueh#fruit#wine list#chicken fried#century egg#braised beef#pork belly#coconut#rice noodle#japanese#lemonade#stew#fried prawn#hainanese#hainanese chicken#char siew#teochew#popiah#pandan#curry#cantonese#ice tea#gyoza#congee#smoked duck#tiramisu#pork bun#crispy duck#vegan#prawn dumpling#papaya#seafood fried rice#crabmeat#peking duck#hot sour soup#grilled pork#sichuan#szechuan#mediterranean#fried egg#burger#cantonese cuisine#sushi#black truffle#kai lan#roast pork#chicken dish#steamed rice#sandwich#hot pot#sweet sour pork#italian#fish head#xiao bao#cafe#milk tea#chicken tender#rice chicken#prawn paste chicken#pork rib soup#crispy pork#oyster#michelin starred#lychee#fish curry#glass wine#teh#shark fin#buffet#american#vietnamese#pasta#roasted duck#dim sum buffet#hokkien#beehoon#fried fish#foie gras#german#crispy chicken#umami#fresh juice#bacon#greek#indonesian#tim sum#fish soup#lager#roast duck
"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore",Dolce Vita,"Italian,European,Vegetarian Friendly",CENTRAL,breakfast#beef#steak#pasta#italian#cheese#desert#pasta dish#duck#michelin#michelin star#bread#wine list#tiramisu#spaghetti#king crab#alaskan king#alaskan king crab#coconut#mango#cake#vegetarian#burrata#carbonara#egg#scallop#porridge#poached egg#quinoa#dessert#buffet#lemon#salad#lamb#lamb chop#tagliatelle#ragout#goat cheese#fine dining#veal#ice cream#chicken#truffle#risotto#octopus#red wine#champagne#coffee#shrimp#carpaccio#beef carpaccio#chocolate#fish#cod#cod fish#wagyu#wagyu beef#porcini#pork#black truffle#ragu#soup#spinach#barramundi#panna cotta#asian#seafood#malaysian#seafood pasta#beef cheek#mushroom soup#dessert buffet#korean#rib#rib eye#pizza#glass wine#white wine#mediterranean#vanilla#vanilla ice cream#ricotta#paneer#wine service#mozzarella#hot chocolate#tenderloin#michelin starred#lobster#asparagus#lasagna#burger#mousse#italian wine#allergy#avocado#american#prawn#parma#parma ham#lobster pasta#german#grill#king prawn#foie gras#chicken dish#tuna#ravioli#champagne brunch#buffet style#espresso#bottle wine#indian#salmon#udon#linguine#cuttlefish#antipasti#bacon#mussel#sea bass#pineapple#pork collar#tartare#chinese#potato#beef tenderloin#small cake#rabbit#lychee#angus#souffle#crab meat#angus beef#chocolate mousse#vegan#seabass#martini#pistachio#prosciutto#coconut ice#coconut ice cream#pumpkin soup#bisque#lobster bisque#tiger prawn#hokkaido scallop#fish soup#sirloin#sirloin steak#cafe#iberico#iberico pork#beer#cheese platter#penne#beer wine#pork chop#oyster#cold beer#chicken soup#cake dessert#white truffle#oxtail#juice#lime juice#charcuterie#caesar salad#beef steak#squid#squid ink#ink pasta#squid ink pasta#creme brulee#dark chocolate#snapper#brunch buffet#halibut#sashimi#truffle oil
"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982 Singapore",Oscar's,"International,Singaporean,Vegetarian Friendly",CENTRAL,buffet#oyster#sashimi#seafood#lemon#duck#tiramisu#confit#duck confit#fresh oyster#pandan#chilli crab#cake#chocolate#scallop#durian#dessert#lobster#aglio olio#laksa#beef#rib#rib eye#ice cream#potato#asian#ribeye#pie#kueh#kueh pie#kueh pie tee#chili crab#buffet style#fine dining#asparagus#western#otah#prawn#pork#indian#beer#pork belly#roasted pork#burger#bread#naan#egg#oyster fresh#chicken#soup#fish#pasta#lobster pasta#fresh seafood#cheese#cheese platter#coffee#masala#chicken tikka#tikka masala#kopi#chicken tikka masala#tea#lemak#nasi lemak#milo#sambal#squid#cafe#carbonara#korean#rendang#tiger prawn#sotong#teochew#fruit#porridge#chocolate cake#salad#bbq#roast beef#clam#foie gras#fresh sashimi#mala#chinese#sushi#fried rice#desert#stew#breakfast#butter chicken#daal#pig#seafood buffet#mutton#omelette#noodle#steak#lamb#champagne#beer wine#noodle soup#buffet breakfast#caesar salad#japanese#dimsum#breakfast buffet#salmon#tuna#juice#vegetable#taco#wine list#coconut#bottle wine#alaskan crab#cantonese#prawn noodle#wanton#crayfish#fried noodle#waffle#international buffet#prawn mee#strawberry#buffet selection#cocktail#beef noodle#king crab#roast chicken#dim sum#small cake#grill#red wine#salmon sashimi#parma#parma ham#gelato#gula melaka#brunch buffet#curry#chicken curry#spaghetti#sushi sashimi#high tea#naan bread#pork rib#pork rib soup#nonya#rib eye steak#truffle#indonesian#chicken soup#shrimp#pumpkin soup#fruit juice#cappuccino#risotto#roasted duck#cod#unagi#roast pork#roast duck#chicken rice#hainanese#sweet sour pork#hainanese chicken#fried prawn#hainanese chicken rice#miso#fresh fruit#congee#fish soup#miso soup#durian pengat#peranakan#nyonya#oyster omelette#lemonade#smoked salmon#mushroom soup#champagne brunch#vegetarian#souffle#fondant#chocolate fondant#suckling pig#bacon#antipasti#crepe#boston lobster#mussel#crab meat#beef brisket#chocolate fountain#white wine#snapper#sticky date pudding#mango#duck meat#seafood soup#american#apple#yorkshire pudding#teh#vietnamese#mediterranean#vanilla#sesame#spare rib#satay#milk tea#teh tarik#dry laksa#pancake#soup noodle#prime rib#gratin#tempura#sandwich#pad thai#wagyu#wagyu beef#bisque#lobster bisque#sourdough#maki#icecream#pau#abalone#tea coffee#yoghurt#mexican#banana#prawn fresh#peking duck#greek#ice cream dessert#blue cheese#tom yum#nasi goreng#fresh juice#tom yum soup#hot chocolate#indian vegetarian#fresh crab#chinese cuisine#pork knuckle#beef cheek#dessert buffet#bak kut teh#veal#cup coffee#panna cotta
"3 Seng Poh Road Green World, Singapore 168891 Singapore",BAKALAKI Greek Taverna,"Mediterranean,Greek,Vegetarian Friendly",SOUTH,seafood#lamb#greek#calamari#dessert#bread#octopus#cod#pita#pita bread#grilled octopus#red wine#chicken#pasta#cheese#wine list#salad#egg#hummus#yoghurt#greek salad#baklava#mediterranean#beer#sesame#vegetarian#beef#beef patty#fish#mozzarella#italian#squid#moussaka#kebab#white wine#halal#grilled meat#lemonade#cod fish#asian#sea bass#cake#curry#grilled chicken#coffee#chocolate#ice cream#desert#limoncello#lager#western#lamb chop#shrimp#seabass#grilled squid#steak#vegetable#burger#chocolate cake#bottle wine#glass wine#juice#cappuccino#grilled fish#spinach#cocktail#wine service#prawn#vegan#indian#chinese#middle eastern#whisky#fine dining#donut#sandwich#ham#champagne#steakhouse#potato#michelin#meatball#snapper#espresso#sourdough
"2 Stamford Road Level 70, Swissotel The Stamford, Singapore 178882 Singapore",JAAN by Kirk Westaway,"British,Contemporary,Vegetarian Friendly",CENTRAL,juice#vegetarian#meringue#michelin#michelin star#caviar#fish#snapper#dessert#cheese#egg#champagne#glass wine#cake#chocolate#chocolate cake#bread#beef#wine list#italian#oyster#breakfast#duck#dim sum#japanese#lamb#potato#fine dining#pie#sourdough#salad#wagyu#quinoa#chinese#pasta#truffle#scallop#truffle pasta#rib#short rib#soup#bisque#chocolate dessert#beer#caramel#white truffle#small cake#tea#coffee#cheese platter#desert#halibut#wagyu beef#limoncello#mousse#chocolate mousse#asparagus#chicken#curry#pancake#chicken curry#vegan#lobster#lobster bisque#eel#michelin starred#cod#confit#vegetable#asian#seafood#risotto#bottle wine#foie gras#apple#espresso#panna cotta#alaskan crab#bacon#pork#mushroom soup#lemon#king crab#alaskan king#alaskan king crab#burrata#chicken rice#artichoke#fruit#clam#egg white#tartare#black truffle#hot chocolate#beef tartare#white wine#cafe#ice cream#iberico#iberico pork#hummus#chorizo#allergy#strawberry#avocado#urchin#sea urchin#poached egg#rhubarb#red wine#bruschetta#coconut#gelato#indonesian#western#grill#steak#quail#cup coffee#satays#boiled egg#gnocchi#banana#pineapple#cocktail#prawn#seabass#buffet#salmon#roast pork#ravioli#lava cake#chocolate lava#chocolate lava cake#indian#brioche#german#striploin#korean#squid#seared scallop#beef short#chestnut#dark chocolate#beef short rib#sea bass#mango#mackerel#baby squid#porcini#spanish#veal#rabbit#carpaccio#teh#crayfish#ramen#pork belly#baguette#tonkotsu#kurobuta#oxtail#kurobuta pork
"1 Scotts Road #01-16 Shaw Centre, Singapore 228208 Singapore",Les Amis,"French,Vegan Options,Gluten Free Options",CENTRAL,cheese#bread#vegetarian#wine list#lamb#mussel#michelin#michelin star#beef#fish#coffee#lobster#ice cream#foie gras#cod#tenderloin#souffle#urchin#sea urchin#pistachio#cod fish#beef tenderloin#fondant#dessert#duck#caviar#cake#wagyu#fruit#fine dining#mango#wagyu beef#chocolate#caramel#red wine#desert#salad#pasta#truffle#angel hair pasta#roasted duck#champagne#soup#tea#michelin starred#seafood#steak#asparagus#chinese#asian#salmon#congee#potato#bottle wine#sea bass#mushroom soup#strawberry#egg#scallop#mousse#poached egg#dark chocolate#lobster tail#glass wine#bacon#tartare#croissant#black truffle#chicken#pork#vegetable#pork belly#pie#breakfast#truffle oil#gnocchi#oyster#brioche#white wine#japanese#chocolate mousse#vanilla#tiramisu#baguette#bisque#small cake#apple#veal#artichoke#indian#chestnut#tuna#cheese platter#espresso#spinach#omakase#eel#crab meat#spaghetti#ravioli#sesame#lobster bisque#martini#white truffle#chocolate cake#juice#pineapple#lamb chop#confit#lamb rack#italian#italian wine#hokkaido scallop#onion soup#allergy#carpaccio#wagyu steak#coconut#smoked salmon#quail#ebi#beef tartare#apple crumble#quail egg#sashimi#salmon sashimi#seabass#lobster pasta#avocado#pig#suckling pig#lemon#gratin#shrimp#iberico#fried egg#coconut ice#coconut ice cream#squid#grilled squid#wine service#angus#beef steak#angus beef#waygu#steakhouse#caesar salad#vanilla ice cream#sourdough#lassi#mango lassi#mackerel
"501 Orchard Road Wheelock Place #02 -04/05 Wheelock Place, Singapore 238880 Singapore",Pistachio Middle Eastern & Mediterranean Grill,"Lebanese,Mediterranean,Grill",CENTRAL,prawn#cake#briyani#mediterranean#beef#rib#middle eastern#beef rib#bread#hummus#baklava#lamb#salad#kebab#saffron rice#dessert#chicken#cheese#grill#pita#pistachio#pita bread#steak#popiah#beef steak#pie#coffee#cup coffee#vegetarian#falafel#italian#chinese#spinach#vanilla#seafood#lebanese#egg#lamb chop#moussaka#bottle wine#greek#biryani#fish#snapper#pizza#grilled meat#shrimp#lobster#bisque#lobster bisque#desert#grilled fish#pasta#ice cream#angus#angus beef#soup#cafe#chocolate#lava cake#chocolate lava#chocolate lava cake#vegetable#icecream#caramel#chicken dish#hot chocolate#king prawn#grilled chicken#halal#steak house#sticky date pudding#pork#asian#tenderloin#beef tenderloin#mutton#lamb shank#fine dining#wagyu#chocolate cake#wagyu steak#stew#juice#michelin#michelin star#ribeye#short rib#beef short#beef short rib#chili crab#chicken soup#braised beef#panna cotta#fruit#breakfast#spaghetti#waygu#yoghurt#mussel#greek salad#roast beef#persian#indian#beer#egg white#cake dessert#squid#chocolate dessert#garlic bread#aglio olio#dark chocolate#japanese#lemon
"111 Dunlop Street, Singapore 209430 Singapore",Marmaris Restaurant,"Fast food,Mediterranean,Arabic",CENTRAL,chicken#bread#grill#grilled chicken#tea#lamb#mutton#briyani#lamb shank#prawn#biryani#falafel#middle eastern#juice#fruit#egg#mango#fish#fried rice#indian#sandwich#dessert#fine dining#halal#kebab#mediterranean#curry#fried fish#western#burger
"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore",The Lighthouse Restaurant & Rooftop Bar,"Italian,European,Vegetarian Friendly",CENTRAL,dessert#beef#seafood#italian#cheese#bread#asian#champagne#red wine#vanilla#sea bass#beef cheek#italian wine#champagne brunch#meringue#pasta#lobster#lamb#lobster pasta#cake#wine list#burrata#angel hair pasta#michelin#tenderloin#veal#ravioli#coffee#chinese#fish#fish skin#truffle#bruschetta#cocktail#fine dining#lemon#mozzarella#artichoke#antipasti#ragout#pork#beer#cod#cod fish#prosciutto#bottle wine#mojito#white wine#vegetarian#charcuterie#white truffle#whisky#small cake#margarita#tiramisu#espresso#cheese platter#lamb rack#satay#pau#soup#seabass#ice cream#gnocchi#dessert tiramisu#vegan#urchin#sea urchin#ricotta#ragu#pork chop#kurobuta#kurobuta pork#chocolate#chocolate cake#cafe#tuna#tartare#tuna tartare#beef tartare#allergy#asparagus#salad#squid#steak#beef steak#pig#scallop#grill#spaghetti#alaskan crab#parma#parma ham#burrata cheese#apple#cider#beef tenderloin#rhubarb#lava cake#desert#michelin star#risotto#chicken#juice#limoncello#snapper#egg#strawberry#clam#razor clam#seafood pasta#mousse#chocolate mousse#carpaccio#truffle fries#buffet#chocolate lava#chocolate lava cake#wagyu#wagyu beef#pistachio#pasta dish#icecream#fruit#lobster roll#fish soup#prawn#squid ink#ink pasta#squid ink pasta#seafood soup#carbonara#calamari#linguine#vongole#cup coffee#spinach#mushroom soup#gelato#octopus#grilled octopus#glass wine#truffle oil#japanese#pizza#american#vanilla ice cream#rib#rib eye#rib eye steak#chicken dish#western#porcini#beef carpaccio#black truffle#mussel#vegetable#mediterranean#fondant#chocolate fondant#martini#pork cheek#angus#angus beef#vino
"2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, B1-71 , Galleria Level, Singapore 018972 Singapore",Cut by Wolfgang Puck,"American,Steakhouse,Gluten Free Options",CENTRAL,pork#steak#japanese#wagyu#pork belly#cheese#bread#porterhouse#ribeye#ribeye steak#mac cheese#bone marrow#beef#chicken#cake#potato#tuna#tartare#crab cake#tuna tartare#waygu#apple#apple crumble#cocktail#michelin#michelin star#chocolate#souffle#pasta#lobster#sirloin#filet mignon#steakhouse#seabass#dessert#fruit#ice cream#beef patty#salad#vegetarian#vegan#desert#octopus#carpaccio#lamb#wine list#american#chinese#vanilla#vanilla ice cream#rib eye#fine dining#mash potato#egg#spinach#tenderloin#shrimp#avocado#mousse#prawn#angus#burger#vegetable#wagyu steak#pie#caviar#foie gras#grill#prime rib#rib eye steak#iberico#iberico pork#vietnamese#striploin#steak house#dim sum#sandwich#cantonese#coffee#lemon#sesame#carrot cake#baguette#sourdough#steak tartare#red wine#champagne#martini#chocolate dessert#bacon#small cake#glass wine#white wine#veal#soup#duck#confit#duck confit#pumpkin soup#coconut#durian#beef burger#hot chocolate#fish#blue cheese#sirloin steak#caramel#pandan#breakfast#popcorn#beef tartare#bottle wine#strawberry#gelato#wagyu beef#hamburger#asparagus#asian#scallop#hokkaido scallop#curry#pork chop#rhubarb#meringue#wine service#kurobuta#king crab#alaskan king#alaskan king crab#western#hainanese#cake dessert#allergy#michelin starred#tempura#poached egg#lager#salmon#beef steak#fried egg#seafood#chestnut#juice#truffle#truffle fries#truffle oil#cheesecake#gula melaka#goat cheese#grilled chicken#angus beef#crab meat#mojito#lamb rack#espresso#mashed potato#alaskan crab#roast chicken#beer#spanish#pizza#italian#prosciutto#banana#caesar salad#burrata#german#coconut ice#coconut ice cream#brioche#oxtail#fondant#chocolate fondant#mozzarella#whisky#dumpling#sashimi#cappuccino#panna cotta#gratin#ragout#halibut#tom yum#tom yum soup#lamb chop#teh#creme brulee#egg tart#chocolate mousse#char siew#roast pork#quail#quail egg#iced tea
"38 Tanjong Pagar Rd, Singapore 088461 Singapore",Tippling Club,"International,European,Vegetarian Friendly",CENTRAL,cocktail#dessert#cheese#asian#chicken#pie#vegetarian#michelin#michelin star#italian#champagne#fish#risotto#omelette#tom yum#seafood#wagyu#foie gras#burrata#cheesecake#strawberry#bone marrow#fine dining#yam#tom yam#allergy#soup#cod#black cod#tea#curry#laksa#red wine#wine list#bread#beef#desert#white wine#coconut#mango#souffle#ricotta#mousse#espresso#pork#beer#japanese#pork collar#sandwich#coffee#tea coffee#bottle wine#ice cream#iberico#iberico pork#halibut#ravioli#umami#pasta#pizza#scallop#pork belly#roasted pork#tartar#duck#truffle#truffle oil#masala#butter chicken#martini#chocolate#apple#fish chip#crab meat#cappuccino#duck meat#chorizo#western#cheese platter#caramel#lamb#caviar#egg#salmon#banana#vanilla#vanilla ice cream#chilli crab#fruit#artichoke#bacon#hokkaido scallop#salad#potato#squid#spinach#pig#squid ink#tempura#miso#baguette#mash potato#lemonade#lobster#whisky#eel#glass wine#american#carpaccio#onion soup#chinese#tom yum soup#indian#cafe#chicken curry#goat cheese#chocolate dessert#black truffle#steak#korean#bbq#michelin starred#confit#juice#tartare#wagyu beef#oxtail#rib#short rib#gnocchi#quail#duck confit#yoghurt#mojito#breakfast#beef cheek#tiramisu#lager
"200 Middle Road Hotel G Singapore, Singapore 188980 Singapore",Ginett Restaurant & Wine Bar,"French,Bar,European",CENTRAL,martini#chicken#dessert#oyster#cocktail#bottle wine#steak#carbonara#cake#pork#grilled pork#bacon#cheese#breakfast#pasta#prawn#duck#confit#duck confit#beef#chocolate#chocolate cake#beef cheek#cheese platter#wagyu#wagyu beef#wine service#salad#lobster#bisque#lobster bisque#bread#angus#fondant#striploin#chocolate fondant#potato#risotto#stew#vanilla#roasted chicken#gratin#american#vongole#kurobuta#glass wine#burrata#red wine#burrata cheese#salmon#tartare#spinach#ribeye#mashed potato#braised beef#spaghetti#prime rib#angus beef#lobster pasta#rib eye#champagne#apple#tenderloin#charcuterie#sea bass#coffee#lamb#lamb shank#wine list#lava cake#ribeye steak#italian#spanish#beer#lamb rack#beef tartare#burger#beer wine#foie gras#pork chop#kurobuta pork#soup#onion soup#egg#fish#pork belly#desert#mousse#chocolate mousse#apple crumble#beef tenderloin#mash potato#white wine#rib eye steak#buffet#omelette#cheesecake#snapper#smoked salmon#ice cream#vanilla ice cream#blue cheese#truffle#bone marrow#fruit#linguine#tagliatelle#quinoa#garlic bread#mojito#aglio olio#fine dining#pizza#chocolate lava#chocolate lava cake#vegetarian#asian#avocado#calamari#espresso#buffet breakfast#tuna#tuna tartare#sandwich#lemonade#baguette#poached egg#egg white#penne#octopus#cod#seabass#congee
